number,name,ra,dec,a
1,J0012+5431,00:12:23.3,+54:31:40,
2,J0033+57,00:33,+57,
3,B0037+56,00:40:32.3,+57:16:24.8,
4,J0103+54,01:03:37,+54:02,
5,J0121+53,01:21,+53:29,
6,J0139+5621,01:39:38.5,+56:21:36.8,
7,J0209+5759,02:09:37.3,+57:59:45.3,
8,J0212+5222,02:12:52.1,+52:22:49.5,
9,J0214+5222,02:14:55.2,+52:22:40.9,
10,J0324+5239,03:24:55.4,+52:39:31.3,
11,B0329+54,03:32:59.4,+54:34:43.3,
12,J0341+5711,03:41,+57:11,
13,B0339+53,03:43:12.9,+53:12:53.4,
14,B0353+52,03:57:44.8,+52:36:57.4,
15,B0355+54,03:58:53.7,+54:13:13.7,
16,J0359+5414,03:59:26.0,+54:14:55.7,
17,J0408+551,04:08,+55,
18,J0408+552,04:08,+55,
19,J0418+5732,04:18:33.8,+57:32:22.9,
20,B0450+55,04:54:07.7,+55:43:41.4,
21,J0518+5416,05:18:53.1,+54:16:50.0,
22,J0750+57,07:50,+57:00,
23,J0827+53,08:27:48,+53:00,
24,J0854+5449,08:54:25.7,+54:49:28.7,
25,J1012+5307,10:12:33.4,+53:07:02.2,
26,J1048+5349,10:48:06.4,+53:49:51.9,
27,J1252+53,12:52,+53:42,
28,J1426+52,14:27:00,+52:10,
29,B1508+55,15:09:25.6,+55:31:32.3,
30,J1552+5437,15:52:53.3,+54:37:05.7,
31,B1753+52,17:54:22.9,+52:01:12.2,
32,J1815+5546,18:15:05.7,+55:46:23.3,
33,B1839+56,18:40:44.5,+56:40:54.8,
34,J1907+57,19:07,+57,
35,J1910+56,19:10:42,+56:55,
36,J1933+5335,19:33:01.1,+53:35:43,
37,J1934+5219,19:34:23.8,+52:19:57.6,
38,J1958+56,19:58:00,+56:49,
39,J2030+55,20:30,+55,
40,B2036+53,20:38:03.1,+53:19:12.8,
41,B2045+56,20:46:46.6,+57:08:37.0,
42,J2115+5448,21:15:11.7,+54:48:45.1,
43,J2123+5434,21:23:21.6,+54:34:07.7,
44,B2148+52,21:50:37.7,+52:47:49.5,
45,J2208+5500,22:08:23.7,+55:00:08.4,
46,J2210+57,22:11,+57:29,
47,J2210+5712,22:10:08.2,+57:12:59.8,
48,J2213+53,22:13,+53,
49,J2216+5759,22:16:05.2,+57:59:53.7,
50,J2217+5733,22:17:55.0,+57:33:04.0,
51,J2222+5602,22:22,+56,
52,B2306+55,23:08:13.8,+55:47:36.0,